,Name,Sex,Total_national_count,Year,State,State_count,Percentage,text
5928956,Olivia,F,17921.0,2018.0,DC,47.0,0.26,Olivia<br>DC<br>National baby count with the name: Olivia<br>17921.0<br>Percentage of total baby count: 0.26
5928957,Olivia,F,17921.0,2018.0,DE,43.0,0.24,Olivia<br>DE<br>National baby count with the name: Olivia<br>17921.0<br>Percentage of total baby count: 0.24
5928968,Olivia,F,17921.0,2018.0,MA,394.0,2.2,Olivia<br>MA<br>National baby count with the name: Olivia<br>17921.0<br>Percentage of total baby count: 2.2
5928969,Olivia,F,17921.0,2018.0,MD,265.0,1.48,Olivia<br>MD<br>National baby count with the name: Olivia<br>17921.0<br>Percentage of total baby count: 1.48
5928979,Olivia,F,17921.0,2018.0,NH,87.0,0.49,Olivia<br>NH<br>National baby count with the name: Olivia<br>17921.0<br>Percentage of total baby count: 0.49
5928980,Olivia,F,17921.0,2018.0,NJ,483.0,2.7,Olivia<br>NJ<br>National baby count with the name: Olivia<br>17921.0<br>Percentage of total baby count: 2.7
5928983,Olivia,F,17921.0,2018.0,NY,1083.0,6.04,Olivia<br>NY<br>National baby count with the name: Olivia<br>17921.0<br>Percentage of total baby count: 6.04
5928987,Olivia,F,17921.0,2018.0,PA,608.0,3.39,Olivia<br>PA<br>National baby count with the name: Olivia<br>17921.0<br>Percentage of total baby count: 3.39
5928988,Olivia,F,17921.0,2018.0,RI,66.0,0.37,Olivia<br>RI<br>National baby count with the name: Olivia<br>17921.0<br>Percentage of total baby count: 0.37
5928994,Olivia,F,17921.0,2018.0,VA,446.0,2.49,Olivia<br>VA<br>National baby count with the name: Olivia<br>17921.0<br>Percentage of total baby count: 2.49
5928995,Olivia,F,17921.0,2018.0,VT,24.0,0.13,Olivia<br>VT<br>National baby count with the name: Olivia<br>17921.0<br>Percentage of total baby count: 0.13
